Position;miRNA ID;Plate
M22;hsa-miR-30a;Plate 1
M23;hsa-miR-140-5p;Plate 1
M24;hsa-miR-151-3p;Plate 1
N01;hsa-miR-551b;Plate 1
N02;hsa-miR-181d;Plate 1
N03;hsa-miR-588;Plate 1
N04;hsa-miR-520g;Plate 1
N05;hsa-miR-105;Plate 1
N06;hsa-miR-520e;Plate 1
N07;hsa-miR-545;Plate 1
N08;hsa-miR-302a;Plate 1
N09;hsa-miR-29b;Plate 1
N10;hsa-miR-632;Plate 1
N11;hsa-miR-802;Plate 1
N12;hsa-miR-590-3p;Plate 1
N13;hsa-let-7d;Plate 1
N14;hsa-miR-147;Plate 1
N15;hsa-miR-519c-3p;Plate 1
N16;hsa-miR-580;Plate 1
N17;hsa-miR-373;Plate 1
N18;hsa-miR-181a;Plate 1
N19;hsa-miR-301a;Plate 1
N20;hsa-miR-28-3p;Plate 1
N21;hsa-miR-137;Plate 1
N22;hsa-miR-875-3p;Plate 1
N23;hsa-miR-127-5p;Plate 1
N24;hsa-miR-339-5p;Plate 1
O01;hsa-miR-873;Plate 1
O02;hsa-miR-146a;Plate 1
O03;hsa-miR-150;Plate 1
O04;hsa-miR-298;Plate 1
O05;hsa-miR-17*;Plate 1
O06;hsa-miR-455-3p;Plate 1
O07;hsa-miR-30e;Plate 1
O08;hsa-miR-151-5p;Plate 1
O09;hsa-let-7a*;Plate 1
O10;hsa-let-7b*;Plate 1
O11;hsa-let-7d*;Plate 1
O12;hsa-let-7f-1*;Plate 1
O13;hsa-let-7f-2*;Plate 1
O14;hsa-let-7g*;Plate 1
O15;hsa-let-7i*;Plate 1
O16;hsa-miR-103b;Plate 1
O17;hsa-miR-106b*;Plate 1
O18;hsa-miR-10b*;Plate 1
O19;hsa-miR-125b-1*;Plate 1
O20;hsa-miR-125b-2*;Plate 1
O21;hsa-miR-126*;Plate 1
O22;hsa-miR-130b*;Plate 1
O23;hsa-miR-133a;Plate 1
O24;hsa-miR-138-1*;Plate 1
P01;hsa-miR-138-2*;Plate 1
P02;hsa-miR-141*;Plate 1
P03;hsa-miR-145;Plate 1
P04;hsa-miR-153;Plate 1
P05;hsa-miR-15b*;Plate 1
P06;hsa-miR-181a*;Plate 1
P07;hsa-miR-18a*;Plate 1
P08;hsa-miR-193a-3p;Plate 1
P09;hsa-miR-193b*;Plate 1
P10;hsa-miR-199a-5p;Plate 1
P11;hsa-miR-1304;Plate 1
P12;hsa-miR-19a*;Plate 1
