miRNA #;miRNA ID
359;hsa-miR-920
360;hsa-miR-924
361;hsa-miR-92a-3p
362;hsa-miR-92a-1-5p
363;hsa-miR-92b-3p
364;hsa-miR-92b-5p
365;hsa-miR-93-5p
366;hsa-miR-93-3p
367;hsa-miR-95-3p
368;hsa-miR-96-5p
369;hsa-miR-98-5p
370;hsa-miR-99a-5p
371;hsa-miR-99a-3p
372;hsa-miR-99b-5p
373;cel-miR-39-3p1
374;cel-miR-39-3p2
375;SNORD61
376;SNORD68
377;SNORD72
378;SNORD95
379;SNORD96A
380;RNU6-6P
381;miRTC1
382;miRTC2
383;PPC1
384;PPC2
