"","x"
"475","LCOR"
"476","MCL1"
"477","NFKB1"
"478","NOTCH1"
"479","PIK3CA"
"480","RAP1B"
"481","RHOT1"
"482","ROCK2"
"483","RPS23"
"484","SGPL1"
"485","STAMBP"
"486","TMED7"
"487","TNPO1"
"488","TPD52"
"489","UHMK1"
"490","USP6NL"
"491","ZBTB34"
"492","ZNF367"
"493","ZNF431"
"494","ZNF480"
"495","DDX3X"
"496","JUNB"
"497","LAMC2"
"498","SET"
"499","ZDHHC9"
"500","ATL3"
"501","ATP13A3"
"502","ATP5MC3"
"503","ATXN7L3B"
"504","B2M"
"505","BBS10"
"506","BCOR"
"507","CALM1"
"508","CAPRIN2"
"509","CAPZA1"
"510","CCND1"
"511","CCSAP"
"512","DUSP2"
"513","EFCAB14"
"514","EGLN3"
"515","EIF2A"
"516","ELK4"
"517","GDF11"
"518","GLO1"
"519","HIF1A"
"520","IGF2BP3"
"521","LAPTM4A"
"522","LZIC"
"523","MAPK1"
"524","MED17"
"525","MFSD9"
"526","MKLN1"
"527","NARS1"
"528","NFE2L2"
"529","PCBP1"
"530","PTEN"
"531","PTP4A1"
"532","PTPN4"
"533","RAC1"
"534","REST"
"535","RGMB"
"536","SEMA7A"
"537","SLC38A2"
"538","SPPL2A"
"539","SZRD1"
"540","TNIP2"
"541","TP53INP1"
"542","TWF1"
"543","U2SURP"
"544","UHMK1"
"545","ULK1"
"546","YY1"
"547","ZFYVE21"
"548","ABCC9"
"549","ABCG2"
"550","ACBD3"
"551","ACBD5"
"552","ACSL1"
"553","AFF1"
"554","AFF4"
"555","AGBL2"
"556","AGTR2"
"557","AKIRIN2"
"558","AKT1S1"
"559","ALAD"
"560","ARF4"
"561","ARHGAP12"
"562","ARL10"
"563","ARL14EP"
"564","ARL15"
"565","ARL6IP6"
"566","ARNTL"
"567","ATP2A2"
"568","BACH1"
"569","BMP8A"
"570","BOD1"
"571","BRMS1L"
"572","C11orf16"
"573","C16orf70"
"574","C18orf25"
"575","C2"
"576","C4BPB"
"577","C5orf24"
"578","C7orf31"
"579","C9orf72"
"580","CA5B"
"581","CALCOCO2"
"582","CCDC6"
"583","CCNJ"
"584","CCNT2"
"585","CDC6"
"586","CDCA4"
"587","CDKN1B"
"588","CLEC4D"
"589","CLIC4"
"590","CLOCK"
"591","CLTA"
"592","CLUAP1"
"593","CNIH4"
"594","COPA"
"595","COPG1"
"596","CREB3L2"
"597","CRH"
"598","CTNNB1"
"599","DAG1"
"600","DCTN4"
"601","DNAJB4"
"602","DOCK10"
"603","DPY19L4"
"604","DTD1"
"605","EDEM3"
"606","ELL2"
"607","ENAH"
"608","ENTPD1"
"609","ENTR1"
"610","EPM2AIP1"
"611","ETNK2"
"612","EVI2B"
"613","FAM177A1"
"614","FAM209A"
"615","FAM222B"
"616","FAM98A"
"617","FBXO3"
"618","FLVCR1"
"619","FNDC3A"
"620","FYCO1"
"621","FZD7"
"622","GNAQ"
"623","GNAS"
"624","GOLGA1"
"625","GOLGA5"
"626","GPC4"
"627","GPD1L"
"628","H4C4"
"629","HECTD1"
"630","HGS"
"631","HMGA1"
"632","HOXA13"
"633","HSBP1"
"634","HSPA1B"
"635","INCENP"
"636","INPP5A"
"637","INSIG2"
"638","IP6K1"
"639","IPMK"
"640","IRAK1"
"641","IRF2BP1"
"642","ITGAV"
"643","KCND3"
"644","KCTD12"
"645","KIAA1191"
"646","KIF5B"
"647","KLHL15"
"648","KMT2A"
"649","KRTAP4-5"
"650","LCOR"
"651","LGR5"
"652","MALT1"
"653","MAN1A2"
"654","MANBAL"
"655","MBD6"
"656","MCFD2"
"657","MESP2"
"658","MKLN1"
"659","MMD"
"660","MMGT1"
"661","MORF4L1"
"662","MORF4L2"
"663","MRFAP1"
"664","MRGPRX1"
"665","MROH7"
"666","MTCH1"
"667","MTUS1"
"668","NAP1L2"
"669","NCKAP1"
"670","NEFH"
"671","NR2C1"
"672","NR2F6"
"673","NSD2"
"674","NSFL1C"
"675","OSBP"
"676","PCDHB14"
"677","PCDHGA10"
"678","PCDHGA2"
"679","PCMTD2"
"680","PITPNC1"
"681","PNO1"
"682","PPFIA1"
"683","PPIL4"
"684","PPP1R15B"
"685","PPP1R2"
"686","PPP2R2C"
"687","PROM1"
"688","PSMB5"
"689","PSMD12"
"690","PTPRJ"
"691","PUM1"
"692","RAC1"
"693","RBM27"
"694","RGL2"
"695","RGS5"
"696","RICTOR"
"697","RIPOR1"
"698","RNF170"
"699","ROCK2"
"700","RPE"
"701","RRM2B"
"702","RTL8C"
"703","SCAMP1"
"704","SECISBP2"
"705","SH2D1A"
"706","SIGLEC10"
"707","SIK2"
"708","SKP2"
"709","SLC17A5"
"710","SLC35F5"
"711","SLC37A3"
"712","SLC7A11"
"713","SMG1"
"714","SPPL2A"
"715","STRN3"
"716","SUCO"
"717","SYPL1"
"718","SYT4"
"719","TAB2"
"720","TAOK1"
"721","TAS2R7"
"722","TASOR2"
"723","TBRG1"
"724","TET3"
"725","TFG"
"726","TGFBR1"
"727","TIPARP"
"728","TLCD5"
"729","TMED7"
"730","TMEM245"
"731","TMEM59"
"732","TMTC3"
"733","TNIP3"
"734","TNKS"
"735","TPSG1"
"736","TRIM36"
"737","TRIM37"
"738","TSEN34"
"739","TSPAN6"
"740","TSPYL1"
"741","TUBAL3"
"742","TWF1"
"743","TWSG1"
"744","UBE2W"
"745","UGT2B17"
"746","USP6NL"
"747","VSIG1"
"748","WASL"
"749","XIAP"
"750","YES1"
"751","ZCCHC14"
"752","ZFP36L2"
"753","ZMYND8"
"754","ZNF217"
"755","ZNF236"
"756","ZNF24"
"757","ZNF529"
"758","ZNF608"
"759","ZNF701"
"760","AKT2"
"761","ARHGDIA"
"762","TNPO2"
"763","THBS2"
"764","BBC3"
"765","CCND1"
"766","ELAVL1"
"767","GIGYF1"
"768","HGS"
"769","NFIC"
"770","PIN1"
"771","RNF44"
"772","SCRIB"
"773","VPS51"
"774","AR"
"775","ARCN1"
"776","ARF4"
"777","ASH1L"
"778","BACH1"
"779","BLMH"
"780","CALCOCO2"
"781","CDC123"
"782","CHORDC1"
"783","COPS7A"
"784","CPOX"
"785","DUSP3"
"786","FGFR1OP2"
"787","G3BP2"
"788","HNRNPA2B1"
"789","HSP90AA1"
"790","HUWE1"
"791","JKAMP"
"792","KCNJ3"
"793","KLHL15"
"794","KLHL28"
"795","LNPEP"
"796","MSANTD4"
"797","MTCH1"
"798","NAPG"
"799","NCEH1"
"800","NCOA6"
"801","PHACTR4"
"802","PPIL1"
"803","PRPF8"
"804","RAB8B"
"805","RAC1"
"806","RAD23B"
"807","RAVER1"
"808","RDH11"
"809","RNF141"
"810","SMG1"
"811","SND1"
"812","SON"
"813","SRSF3"
"814","TMEM185B"
"815","TNRC6A"
"816","TP53BP1"
"817","TWIST1"
"818","VBP1"
"819","VEGFA"
"820","YOD1"
"821","ZBTB10"
"822","ZBTB18"
"823","ZBTB33"
"824","ZMAT3"
"825","ZNF460"
"826","ACSL4"
"827","ADD3"
"828","ARL2BP"
"829","BAG4"
"830","BTBD3"
"831","CALM2"
"832","CAMSAP2"
"833","CREBRF"
"834","ETNK1"
"835","HHIP"
"836","HSPA13"
"837","KLHL28"
"838","LNPK"
"839","LSAMP"
"840","LUZP2"
"841","MBNL2"
"842","NAP1L2"
"843","OSTM1"
"844","PAFAH1B2"
"845","PANK3"
"846","PITPNC1"
"847","PPP4R2"
"848","QKI"
"849","RAC1"
"850","RC3H1"
"851","SIK3"
"852","SLC35F5"
"853","TRIM2"
"854","ZNF148"
"855","C5orf51"
"856","CAPZA1"
"857","CCDC88C"
"858","CD44"
"859","CDC42"
"860","CDV3"
"861","CELF1"
"862","DCP2"
"863","EFNA3"
"864","GFPT1"
"865","IRX2"
"866","KPNA1"
"867","MDM2"
"868","MOSMO"
"869","NCEH1"
"870","NTRK3"
"871","ORC5"
"872","PAFAH1B2"
"873","PCMT1"
"874","PDCD4"
"875","PHC3"
"876","PKM"
"877","PLEKHA8"
"878","PLEKHB2"
"879","PNRC2"
"880","PTGFRN"
"881","SGO1"
"882","SLC38A9"
"883","SLC4A2"
"884","SLIT2"
"885","SPATA2"
"886","TGFBR3"
"887","USP9X"
"888","YWHAH"
"889","ZNF217"
"890","ZNF800"
"891","CSNK2A1"
"892","CCDC14"
"893","CCND1"
"894","FOS"
"895","HIF1A"
"896","MMP2"
"897","MRPS23"
"898","MSN"
"899","MYH9"
"900","NRP1"
"901","NUP43"
"902","PCDH7"
"903","PLEKHA1"
"904","RLIM"
"905","SMO"
"906","SOX4"
"907","TRAF7"
"908","UBE2Q1"
"909","ZBTB18"
"910","ZDHHC18"
"911","BCL2L11"
"912","BLCAP"
"913","BTG2"
"914","EEF1A1"
"915","GRK3"
"916","HNRNPA1"
"917","HNRNPF"
"918","KCTD2"
"919","KIF6"
"920","MBD3"
"921","MDM2"
"922","PARP1"
"923","PTP4A1"
"924","SOX11"
"925","SUCLG1"
"926","SUPT16H"
"927","TTYH3"
"928","WDR13"
"929","ZNF445"
"930","ZNF460"
"931","CD164"
"932","DCAF11"
"933","LIF"
"934","USP22"
"935","ZCCHC24"
"936","ACACA"
"937","ARL8B"
"938","CYP7A1"
"939","FOXQ1"
"940","ABHD12"
"941","AGO1"
"942","AKIRIN2"
"943","AKT2"
"944","ATXN7"
"945","B4GALNT3"
"946","C22orf42"
"947","CALR"
"948","CDKN1A"
"949","CENPM"
"950","EIF3B"
"951","EWSR1"
"952","FBXL19"
"953","FEM1A"
"954","KDSR"
"955","KIAA0319L"
"956","KIAA1671"
"957","KLHL15"
"958","MRFAP1"
"959","MT-CYB"
"960","NUBP1"
"961","NUP210"
"962","PABPC1"
"963","PML"
"964","POLR3H"
"965","POM121"
"966","PTMS"
"967","PUM1"
"968","PUS3"
"969","RAP2C"
"970","RNF213"
"971","RPLP1"
"972","SELENON"
"973","SET"
"974","SETD5"
"975","SLC11A2"
"976","SRSF1"
"977","TAGLN2"
"978","TENT4A"
"979","VEGFA"
"980","WIZ"
"981","WNK1"
"982","YWHAQ"
"983","ZC3H4"
"984","CCN5"
"985","CCNE2"
"986","CDC25A"
"987","CDK4"
"988","CDK6"
"989","CNOT4"
"990","CRIP2"
"991","E2F3"
"992","FKBP8"
"993","FLOT2"
"994","FOSL1"
"995","GIGYF1"
"996","GMNN"
"997","HDAC1"
"998","HNF4A"
"999","KMT2D"
"1000","LDHA"
"1001","LNPK"
"1002","MBD6"
"1003","MDM4"
"1004","MET"
"1005","MKLN1"
"1006","MKNK2"
"1007","MYC"
"1008","NFE2L1"
"1009","PEG10"
"1010","PGAP4"
"1011","POU2F1"
"1012","PPP1R11"
"1013","SIRT1"
"1014","SKI"
"1015","SLC4A2"
"1016","TXNIP"
"1017","DNMT3B"
"1018","ERBB2"
"1019","VLDLR"
"1020","BASP1"
"1021","CHD4"
"1022","EI24"
"1023","MAPKAPK2"
"1024","PGM3"
"1025","PURA"
"1026","RAB5B"
"1027","SMAD4"
"1028","SURF4"
"1029","TCAIM"
"1030","TUBGCP3"
"1031","ARID1A"
"1032","DST"
"1033","EAF1"
"1034","LNPEP"
"1035","MTF2"
"1036","NBEA"
"1037","PANK3"
"1038","PCGF3"
"1039","PJA2"
"1040","SKIL"
"1041","SRSF2"
"1042","TMED10"
"1043","YWHAG"
"1044","TAX1BP3"
"1045","SON"
"1046","TACC1"
"1047","TAOK1"
"1048","HES1"
"1049","JAG1"
"1050","CCSER2"
"1051","LRPPRC"
"1052","LRRC40"
"1053","LSM4"
"1054","RUNX3"
"1055","ZFHX3"
"1056","CDKN1B"
"1057","DEPDC1B"
"1058","DNAJC18"
"1059","DYRK1A"
"1060","IPO7"
"1061","KLHL15"
"1062","LYPD3"
"1063","MTPAP"
"1064","MYLIP"
"1065","NCSTN"
"1066","NUFIP2"
