"","ID","Normal.1","Normal.2","Normal.3","Cancer 1.1","Cancer 1.2","Cancer 1.3","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"248","hsa-miR-3651",1.04404494382022,1.04541366906475,1.03598400710795,0.862337875554096,0.833400016003841,0.849500771166491,0.193401319089499,0.945113547119559,11.5700515243846,2.93605849279094e-05,0.000214975789643392,2.78764732360055
"249","hsa-miR-3653",1.14478417266187,1.14171479342514,1.05852897717945,0.888613267184124,0.907135319425278,0.999550561797753,0.183242931619768,1.02338784861227,4.6203778730233,0.00382953143843728,0.00899729474217462,-2.75889312448414
"250","hsa-miR-3654",1.19409042941797,1.32674157303371,1.32868705035971,1.12572190137717,1.04662616975866,1.01944466672001,0.219242104985185,1.17355196511121,4.59988316457929,0.00391127828025717,0.00912916262356969,-2.78269539091294
"251","hsa-miR-3657",1.09221527721406,1.07865887813075,1.11393859793137,1.28476232785429,1.30530575539568,1.30292134831461,-0.202725559429464,1.19630036414013,-11.2208104514637,3.49055666104792e-05,0.000230333646337051,2.59119400238712
"252","hsa-miR-3658",1.37593022325358,1.3775468788051,1.59191011235955,1.15152877697842,1.14749000444247,1.06509604334264,0.327090796551569,1.28491700653029,5.00282355329336,0.00260963177697504,0.00659671772670466,-2.3257557375145
"253","hsa-miR-3662",1.33932584269663,1.34622302158273,1.34517992003554,1.27729436874076,1.2398975754181,1.2586248883838,0.0849706505907467,1.30109093614293,4.83898663334848,0.0030681599272819,0.00760989086372239,-2.50876549813828
"254","hsa-miR-3666",1.19409042941797,1.32674157303371,1.32868705035971,1.08262994224789,1.00599244787391,0.980635352484596,0.260087103401665,1.15312946590297,5.52030024089114,0.00160104347086082,0.00454624759840744,-1.77185483799592
"255","hsa-miR-367",1.12261217236784,1.13848920863309,1.14112359550562,1.03904537705983,1.02944706729615,1.05442456082745,0.0931026571077066,1.087523663615,5.51875149279356,0.00160330715116895,0.00454624759840744,-1.77345961808431
"256","hsa-miR-3670",1.32464028776978,1.31141714793425,1.21203414874405,1.0114427462591,1.02930432664989,1.14022471910112,0.222373264145989,1.17151056274303,4.74813187123295,0.00336155104680261,0.00816495994911186,-2.6118881693634
"257","hsa-miR-3673",1.22567747667703,1.24190647482014,1.2485393258427,0.994804773114701,1.00064015363687,1.02076834674109,0.233303334615735,1.12205609180542,13.4844618451037,1.23052791004166e-05,0.000118740647896373,3.77141194970138
"258","hsa-miR-3676",1.4587222988879,1.61887640449438,1.625,1.08618391825855,1.0142012805779,0.983035928622869,0.539725858640985,1.29766997180693,10.0529041767723,6.4679612306537e-05,0.000379903876679605,1.889240343716
"259","hsa-miR-3678-5p",1.61139385979314,1.48995758982156,1.44411072327299,1.08314606741573,1.08543165467626,1.0719680142159,0.434972145526598,1.29766798486593,9.88580449876626,7.10210592359723e-05,0.000410386553098672,1.78262766518255
"260","hsa-miR-3679-5p",1.12261217236784,1.03923822032507,1.0158438025126,1.33492978326163,1.46831460674157,1.47437050359712,-0.366640232798271,1.24255151480097,-7.55728161503904,0.000310191166208144,0.00121463134313738,0.0992407769795349
"261","hsa-miR-3683",1.46355125230055,NA,1.64898876404494,1.0818345323741,1.07285650821857,0.990395665736332,0.507907772729747,1.2515253445349,7.87963353159557,0.000599193702982961,0.00208644321983318,-0.262493249254879
"262","hsa-miR-3684",1.30786516853933,1.30755395683453,1.3011994669036,1.09957314069939,1.06905657357766,1.08775062910951,0.220079416296967,1.19549982261067,13.0880079047533,1.45873345849778e-05,0.000135598788446446,3.57952776381142
"263","hsa-miR-369-3p",1.13460684140382,1.14478417266187,1.17078651685393,0.976134426495657,0.967832279747139,0.989985224101133,0.172075200191898,1.06402157687726,9.42508639313474,9.26122436981757e-05,0.000502550703113451,1.47986614984135
"264","hsa-miR-369-5p",1.45393258426966,1.31910057634548,1.30391293910539,1.03349203743228,1.12127943136384,1.13444244604317,0.262577394960417,1.22769333575997,5.29362264014917,0.00197493859331771,0.00526486123754771,-2.01006857511592
"265","hsa-miR-371-3p",1.22706834532374,1.22741573033708,1.11494439483724,0.916619988797311,0.94565752749959,1.02265659706797,0.228164785711064,1.07572709731049,5.28511606613821,0.00199079999564414,0.00526773563203859,-2.01914037367418
"266","hsa-miR-3713",1.2552808988764,1.27562949640288,1.27099067081297,1.18001970119849,1.16267904297031,1.17095543469437,0.0960822957430257,1.21925920749257,5.86177789584997,0.00118053587301364,0.00361602535315641,-1.42545232699936
"267","hsa-miR-374a",1.06420975728549,1.04865167640234,1.08028238384502,1.13727232341182,1.15692446043165,1.15460674157303,-0.0852199026278855,1.10699122382489,-4.84953787344056,0.00303601270286555,0.00754766878921692,-2.4968656103321
"268","hsa-miR-374b hsa-miR-374c",NA,1.51473333874503,NA,1.04811151079137,1.04797867614394,0.969463142341159,0.492882228986207,1.14507166700537,10.7430414463656,0.00050876248301925,0.00183730282775648,0.52460667793255
"269","hsa-miR-374b*",1.19409042941797,1.18108346003041,1.21285503201445,1.08262994224789,1.10206834532374,1.10157303370787,0.100585866727777,1.14571670712372,5.69790102974381,0.00136412280845397,0.00410773882320365,-1.58986456274558
"270","hsa-miR-376b",1.16703687250111,1.18570143884892,1.18561797752809,0.964769867684065,0.953828918940546,0.978903299950747,0.213618067434255,1.07264306257558,12.5892358157008,1.81962971699655e-05,0.000154379695830898,3.32974501921464
"271","hsa-miR-377",1.13460684140382,1.04498440321786,1.04225014003361,1.28703628541278,1.43775280898876,1.42131294964029,-0.308086886462179,1.22799057144952,-6.27923729570486,0.000827834380567927,0.00272090125423582,-1.02123730059287
"272","hsa-miR-378",1.23411816970235,1.25134892086331,1.25887640449438,0.730172903644776,0.722973513643274,0.740847151535052,0.516783308745648,0.989722843980525,30.8438652909548,1.02514510747486e-07,1.65456909063289e-05,8.92567651032876
"273","hsa-miR-378c",1.14822631707119,1.27820224719101,1.28956834532374,1.06974677920924,0.993268757182729,0.969032567816276,0.2279829351259,1.1246741689657,4.80035680667231,0.00318919921378797,0.00786161576576595,-2.55246775636596
"274","hsa-miR-3907",0.854777173471873,0.947865168539326,0.951888489208633,0.799200355397601,0.741668034805451,0.722173321597183,0.163829706473199,0.836262090503344,4.58552118568418,0.00396974132631838,0.00922533364746597,-2.79941148242979
"275","hsa-miR-3909",1.19409042941797,1.32674157303371,1.32868705035971,1.02754331408263,0.96905270070596,0.940625750180043,0.304099095947587,1.13112346963,6.75734937821344,0.000563508897113924,0.00198154937833811,-0.582523556497026
"276","hsa-miR-3910",1.30773601753389,1.29391053852925,1.33229354785749,1.08840515326522,1.10971223021583,1.1038202247191,0.210667498573496,1.2059796186868,11.4394765054727,3.1304429201171e-05,0.000216948231922628,2.71487198107437
"277","hsa-miR-3913-5p",1.30725660811033,1.27910698567656,1.29150093351733,1.15505617977528,1.15422661870504,1.14882274544647,0.139919661125812,1.2226616785385,8.45945956218173,0.000168072883474106,0.000788025931727276,0.799373084572188
"278","hsa-miR-3914",1.45393258426966,1.4613309352518,1.4478009773434,1.03800689541947,1.01664399455869,1.03052195795113,0.425963882978522,1.24137289079903,26.2727599406263,2.61120024451275e-07,2.00676161265399e-05,7.97493396451549
"279","hsa-miR-3915",1.15293055327532,1.12226934464271,1.14092052926374,1.26696629213483,1.28372302158273,1.26254997778765,-0.132372954774479,1.20489328644783,-7.53845238909621,0.000314387544728174,0.00122657038435919,0.083888678587094
"280","hsa-miR-3917",1.28494382022472,1.28597122302158,1.27454464682363,1.07535708422262,1.04665119628711,1.06258624888384,0.220288386892122,1.17167570324392,13.1220739093626,1.43729175778827e-05,0.000134777621848742,3.59624185633223
"281","hsa-miR-3918",1.22921348314607,1.24505395683453,1.23189693469569,1.14061730421934,1.12066896055053,1.1397028979625,0.101725070647974,1.18452558956811,6.18057001112118,0.00089877153503025,0.00289393605707029,-1.11493310853461
"282","hsa-miR-3920",1.2552808988764,1.27562949640288,1.27099067081297,1.14636348711213,1.12106905657358,1.1368617582596,0.132535588048981,1.20103256133959,7.80047889302684,0.000261415863980623,0.00110455952013947,0.294701016720222
"283","hsa-miR-3923",1.14571301643714,1.16276978417266,1.16943820224719,1.00698108612712,0.999839961590782,1.02610408799869,0.148331955713468,1.0851410230956,8.54015329369644,0.000159551625239237,0.000768291384597948,0.858809222655093
"284","hsa-miR-3924",1.18794964028777,1.19011235955056,1.08125659550288,0.916619988797311,0.94565752749959,1.02265659706797,0.191461493992114,1.05737545145101,4.52716468265271,0.00421768653769257,0.00964258602536509,-2.86764172703658
"285","hsa-miR-3934",0.810594542690246,0.825148145141651,0.919101123595506,1.7023381294964,1.68902709906708,1.55680512231161,-0.797775513149229,1.25050236038375,-16.0016006183647,4.6154358743763e-06,5.67374368276928e-05,4.87042737306718
"286","hsa-miR-3935",1.19684780824167,1.1730815395695,1.19124928971507,1.47011235955056,1.56519784172662,1.49577965348734,-0.323303739079426,1.34871141538179,-11.3537339121155,3.26624061549213e-05,0.000218225701122568,2.66664814502335
"287","hsa-miR-3939",1.33574153746246,NA,1.49910071942446,1.11417147934251,1.02979806271548,1.00584140193646,0.367484147111972,1.19693064017628,6.01347447095304,0.00200776747107889,0.0052995146335391,-1.67824148482685
"288","hsa-miR-3941",1.08305993438425,1.11106550648498,1.20657485561972,1.40782374100719,1.39775280898876,1.27485997240036,-0.22657874196912,1.24685613648088,-4.601351342845,0.00390535691791042,0.00912916262356969,-2.78098824509033
"289","hsa-miR-3942-5p",1.03460674157303,1.03642086330935,1.03020879609063,0.738384501723855,0.722973513643274,0.73260816624726,0.302423406452874,0.882533763764567,19.4476648132707,1.49772461090488e-06,3.78021294040993e-05,6.11206125102438
"290","hsa-miR-3945",1.36832839881572,1.38241740401007,1.52988764044944,1.08048561151079,1.0719680142159,0.985880807749138,0.380766336599796,1.23649464612518,7.37090679447483,0.000354762705362662,0.00136910228170645,-0.0541386280705254
"291","hsa-miR-409-5p",1.17059084851177,1.18435251798561,1.19101123595506,0.977352057796899,0.968232375770185,0.994089640453128,0.20209350947741,1.08093811274544,11.8782026855782,2.5304598690108e-05,0.000191848340423585,2.95629894524787
"292","hsa-miR-411",1.30725660811033,1.42025766326077,1.43075539568345,1.15505617977528,1.04188651676272,1.03464831559574,0.308892884973602,1.23164344653138,6.40214687615153,0.000748288929910663,0.00253139514580538,-0.906064680046742
"293","hsa-miR-412",0.840977352057797,0.832999919980795,0.859875225742899,0.928920479786761,0.931654676258993,0.934831460674157,-0.0871847063128066,0.888209852416901,-5.29592302534843,0.00197067408861805,0.00526486123754771,-2.0076170018207
"294","hsa-miR-421",1.24010791366906,1.23775280898876,1.1222501826447,0.947027286548772,0.973157117057954,1.05242114615726,0.209168451846178,1.09545274251109,4.74613953879928,0.00336833240183193,0.00816495994911186,-2.61416271913894
"295","hsa-miR-422a",1.4587222988879,1.44114587501,1.4833360696109,1.08618391825855,1.11106115107914,1.10426966292135,0.360563170416588,1.28078649596131,18.862416444391,1.78731816232841e-06,3.9313308924292e-05,5.91877371673565
"296","hsa-miR-423-3p",1.12261217236784,1.13848920863309,1.14112359550562,0.974105040993587,0.961430743378411,0.986701691019537,0.159995833705004,1.05407707531635,9.48049588070571,8.96478832318123e-05,0.00049145429320414,1.51698481772813
"297","hsa-miR-424",1.25659550288173,1.25670160838601,1.28837629289115,1.03553976010662,1.06070143884892,1.06157303370787,0.214619723831829,1.15991460613705,11.4443594478094,3.12290928594945e-05,0.000216948231922628,2.71760781536075
"298","hsa-miR-4253",1.41187050359712,1.39537983118614,1.28755540962075,0.988637272945507,0.988310739508077,1.09842696629213,0.339810255219432,1.19503012052496,7.28131794577897,0.000378795064418682,0.00145136890273681,-0.129010367501042
"299","hsa-miR-4255",1.45393258426966,1.4613309352518,1.4478009773434,1.22804137251683,1.20228854925182,1.21560191573991,0.239044219785434,1.33483272239557,14.4448847069103,8.30420516523523e-06,9.24707846003798e-05,4.21370478485233
"300","hsa-miR-4257",1.31341323263832,1.42434184204209,1.58292069161458,1.04449438202247,1.04991007194245,1.04042647712128,0.395281611736264,1.24258444956353,5.95811948240455,0.00108588622193747,0.00339418822003262,-1.33033281157159
"301","hsa-miR-4258",0.828598863727295,0.836106826852829,0.934831460674157,1.19064748201439,1.18391825855175,1.090543424725,-0.288524004678955,1.0107743860909,-6.92420018854933,0.000495249694644335,0.00181931932499929,-0.435133537328589
"302","hsa-miR-4261",1.04425062014884,1.05933923208053,1.18112359550562,1.39568345323741,1.39848956019547,1.29083894270235,-0.266766169466749,1.2282875673117,-5.48928077372418,0.00164708725575122,0.00460925726805772,-1.80405570012518
"303","hsa-miR-4265",1.25659550288173,1.41168539325843,1.41142086330935,1.08884940026655,1.02651452963389,0.995038809314235,0.323099673411612,1.19835074977736,6.38180952458127,0.000760822452717084,0.0025571348665923,-0.925004974637259
"304","hsa-miR-4268",1.25707865168539,1.26663669064748,1.25277654375833,0.953866360203579,0.937424981995679,0.94691127526585,0.312763089542032,1.10244908392605,19.6769797250038,1.39946818253942e-06,3.64885728569423e-05,6.18606245662679
"305","hsa-miR-4271",1.22921348314607,1.12387369104635,1.10946627190526,0.87465112461008,0.951132829853398,0.960881294964029,0.225296065556723,1.0415364492542,5.45763922445806,0.0016956207202152,0.00469590297904157,-1.83703102310348
"306","hsa-miR-4272",1.32464028776978,1.31141714793425,1.21203414874405,1.01384332239738,1.03498660605569,1.14516853932584,0.218031038889727,1.17368167537116,4.63044124025062,0.00379010147600871,0.0089242697750073,-2.74722793748019
"307","hsa-miR-4273",1.39315859617948,1.30233130848793,1.27070496919261,1.02605730984658,1.13977528089888,1.14073741007194,0.219874957680873,1.2121274791129,4.76146593218011,0.00331656226633349,0.00811305506341076,-2.59667993374883
"308","hsa-miR-4274",1.46355125230055,NA,1.62994224788983,0.826888489208633,0.827415730337079,0.748437373163406,0.745832885858817,1.0992470185799,12.7564582276496,6.32571408178444e-05,0.000373601566487711,2.3495868240264
"309","hsa-miR-4275",1.16703687250111,1.08233459202101,1.05545330879411,1.32762399545418,1.56449438202247,1.51393884892086,-0.367077484360425,1.28514699995229,-5.45144192681129,0.00170531674388998,0.00471055193596483,-1.84350482754255
"310","hsa-miR-4278",1.33574153746246,NA,1.36841241175505,1.11861394935584,1.13489208633094,1.13393258426966,0.222930767956606,1.21831851383479,10.3928325201057,0.000166322358589756,0.000786719474922343,1.23303307504634
"311","hsa-miR-4282",1.2481530126416,1.21189085380491,1.23305463105772,1.08224719101124,1.08812949640288,1.0759662372279,0.148918524287406,1.15657357035771,8.46407607483118,0.000167571385442597,0.000788025931727276,0.802786801032656
"312","hsa-miR-4286",1.30786516853933,1.30755395683453,1.3011994669036,1.18699720899688,1.16147875490118,1.17663771410017,0.130501638093076,1.24028871171261,7.99582251747585,0.000228592279148024,0.00100561788645777,0.448004471083266
"313","hsa-miR-4288",1.30725660811033,1.27910698567656,1.29150093351733,1.18876404494382,1.19559352517986,1.17858729453576,0.104973220881594,1.24013489866061,6.18974325357529,0.000891889797438219,0.00288045375668114,-1.10617493866635
"314","hsa-miR-4289",1.38696629213483,1.40152877697842,1.38871612616615,1.08849121654901,1.06745618948548,1.08856238331033,0.31090046864486,1.23695349743737,18.7913383208927,1.82676550019477e-06,3.9313308924292e-05,5.89485376981979
"315","hsa-miR-4290",1.29586330935252,1.28565082185695,1.19274339188967,0.735776586380731,0.747219741862164,0.82876404494382,0.487499049970809,1.01433631604764,12.4065861963932,1.97713438338605e-05,0.000161340202735854,3.23582416705042
"316","hsa-miR-4294",1.1761797752809,1.1785071942446,1.17192358951577,1.00147758988672,0.982635832599824,0.993181264713045,0.183105290613896,1.08398420770681,11.6148417998226,2.87264258488156e-05,0.000211783098154371,2.81242883852114
"317","hsa-miR-4296",1.36334118029061,1.52674157303371,1.50584532374101,1.14438027543314,1.05565588573305,1.03224773945747,0.387881392147222,1.27136866294816,7.30625378763015,0.00037192215854421,0.00143016110605669,-0.108095117586512
"318","hsa-miR-4299",1.21057307863172,1.11311771466098,1.09466271905257,0.852747787969803,0.936179775280899,0.941097122302158,0.229442942264136,1.02472969964969,5.61834181598151,0.00146490998349633,0.00430695324043561,-1.6708936596103
"319","hsa-miR-4306",NA,1.42434184204209,1.58292069161458,1.20898876404494,1.23291366906475,1.21279431363838,0.28539901791231,1.33239185608095,5.65156557409605,0.00262891137820701,0.00662808080967757,-1.99333180396091
"320","hsa-miR-4307",1.47460674157303,1.46223021582734,1.44291426032874,1.05729765227385,1.02904697127311,1.04716291906811,0.415414558371352,1.2522097933907,22.8583297047721,5.8679795789104e-07,2.37431495517235e-05,7.1232381628078
"321","hsa-miR-4308",1.21057307863172,1.21942446043165,1.22966292134831,0.943258381362124,0.934224213811315,0.96125430963717,0.27364118520036,1.08306622753705,16.0823540023006,4.48372095461469e-06,5.67374368276928e-05,4.90266437313954
"322","hsa-miR-4311",1.33574153746246,NA,1.49910071942446,1.06841403820524,0.992858315547529,0.965031607585821,0.408653141330594,1.1722292436451,6.80561013945402,0.00116168754555803,0.00357730909613659,-1.0377681617528
"323","hsa-miR-4316",1.45385177368293,1.47875490117628,NA,0.933362949800089,0.93660071942446,0.940674157303371,0.529424061920299,1.14864890027743,26.54275679143,1.87556478497558e-06,3.9313308924292e-05,6.18946872699279
"324","hsa-miR-4318",1.19124928971507,1.18268384412259,1.22188474798884,1.51488227454465,1.54091726618705,1.53932584269663,-0.333102500533942,1.3651572108758,-17.301112942412,2.94379704760956e-06,4.87417390845135e-05,5.36951646421801
"325","hsa-miR-432",0.876499333629498,0.888489208633094,0.89438202247191,1.13483237275753,1.12026886452749,1.14349039566574,-0.24640702273875,1.00966036628088,-14.8345136754064,7.12971554158207e-06,8.09091777408054e-05,4.38467978610059
"326","hsa-miR-432*",0.876499333629498,0.888489208633094,0.89438202247191,0.679844143193441,0.672561414739537,0.693646363487112,0.20443954777147,0.784237081025765,12.4263856882197,1.95931395045716e-05,0.00016111589331067,3.24607076050567
"327","hsa-miR-449a",1.30741892492226,1.32014388489209,1.33438202247191,1.1514733338745,1.15307673841722,1.18125102610409,0.158714577963481,1.24129098844701,8.72580553878469,0.000141779068407126,0.000698441585839712,0.993702087091929
"328","hsa-miR-449c*",0.876499333629498,0.811032671154162,0.796191085860606,1.01591038233623,1.12584269662921,1.12455035971223,-0.260860116011135,0.95833775488699,-6.63483338741285,0.000620568760629552,0.00215385715945776,-0.692590775584551
"329","hsa-miR-450b-3p",1.31630386494891,1.3273381294964,1.34337078651685,0.929864437048462,0.921821237096903,0.944836644229191,0.396830154195871,1.13058918322279,22.955387755133,5.72530856561559e-07,2.37431495517235e-05,7.14945880795097
"330","hsa-miR-452",1.16703687250111,1.18570143884892,1.18561797752809,1.04553941066645,1.02904697127311,1.05893941881464,0.134943496041307,1.11198034827205,7.75279666564654,0.000270236111395851,0.00112405604312126,0.256786477044898
"331","hsa-miR-455-5p",1.5089928057554,1.52988764044944,1.35603539248316,1.0966631991678,1.13240847151535,1.2252332296757,0.313536979443047,1.30820345650781,5.47900246762685,0.00166267639469496,0.00462864860918988,-1.81475298130189
"332","hsa-miR-483-3p",1.12261217236784,1.13848920863309,1.14112359550562,1.0179397678383,1.00384092182124,1.03185027089148,0.116198005318511,1.07597598950959,6.78718180243579,0.000550545349607453,0.00195525906554939,-0.555960369568788
"333","hsa-miR-483-5p",1.25659550288173,1.41168539325843,1.41142086330935,1.03243003109729,0.961664751272369,0.933424021765224,0.384060985104875,1.16787009393073,7.47993627898446,0.00032785362176054,0.00127445644240733,0.0359738328751895
"334","hsa-miR-485-3p",1.04089887640449,0.944070135562952,0.933424021765224,1.39960597603021,1.5224344735673,1.54001798561151,-0.514555133825451,1.23007524482362,-10.6077084317596,4.78803668753951e-05,0.000298210472797658,2.23176574184191
"335","hsa-miR-487a",1.45385177368293,1.47875490117628,NA,1.33896046201688,1.34757194244604,1.3514606741573,0.120305644556196,1.39411995069589,5.96138108988755,0.00208551835409406,0.00546426255031017,-1.72267815389501
"336","hsa-miR-487b",1.1761797752809,1.06380388018508,1.05545330879411,1.34994253817107,1.45135495335406,1.47437050359712,-0.326743676954056,1.26185082656372,-6.88045690042016,0.000512176092302555,0.00183730282775648,-0.473499314359549
"337","hsa-miR-489",0.854777173471873,0.843802512603025,0.868904941717288,1.12305641936917,1.14028776978417,1.14022471910112,-0.278694760154093,0.995175589341109,-16.5335258558094,3.8237088687739e-06,5.06655679693449e-05,5.07970815612344
"338","hsa-miR-490-5p",1.31382367427352,1.2935104425062,1.32721811835376,1.06831460674157,1.07194244604317,1.05952909817859,0.244922028056719,1.1890563976828,14.1297887951425,9.42132266110497e-06,0.000101731251764861,4.07196217120047
"339","hsa-miR-491-3p",1.31382367427352,1.43625055530875,1.47032374100719,1.06831460674157,0.967611007386963,0.954229014963591,0.410081113832446,1.2017587666136,7.96691386004598,0.000233135248666647,0.00101723094214141,0.425519790107543
"340","hsa-miR-492",1.13460684140382,1.14478417266187,1.17078651685393,1.26308953648835,1.2398975754181,1.27277951075357,-0.108529697246799,1.20432402559661,-5.64411368270917,0.00143135648305991,0.0042503335566418,-1.64455800836321
"341","hsa-miR-493",1.45393258426966,1.31910057634548,1.30391293910539,1.03800689541947,1.12883163038649,1.14163669064748,0.256156961089028,1.23090355269566,5.12172206769555,0.00232555156788128,0.00599039668931346,-2.19528509514993
"342","hsa-miR-493*",1.30786516853933,1.1802906080039,1.17188125150036,0.843047118699721,0.916925810750777,0.928507194244604,0.323852301449494,1.05808619195645,7.18065428357956,0.000408072601425265,0.00154144738842264,-0.214044022698407
"343","hsa-miR-495",1.19684780824167,1.3025322079076,1.31969424460432,1.10247191011236,0.998457667018427,0.979835160438505,0.246103174394763,1.14997316638715,5.21793280604677,0.00212130585178757,0.00553091616066625,-2.09112899013256
"344","hsa-miR-498",1.36334118029061,1.35912619028567,1.37456903628304,1.14438027543314,1.15647482014388,1.15955056179775,0.21221024982818,1.25957367737235,13.2936370017216,1.33473336161844e-05,0.000126268138369037,3.67976575218493
