"","Normal.1","Normal.2","Normal.3","Cancer 1.1","Cancer 1.2","Cancer 1.3","ID","plate"
"595",NA,1.63482896490449,1.70278776978417,1.24089887640449,1.12874421625132,1.10866607985917,"hsa-miR-1253","Plate 2"
"596",1.24611283873834,1.26708633093525,1.26786516853933,1.06339800308467,1.04665119628711,1.07453620095222,"hsa-miR-144*","Plate 2"
"597",1.24010791366906,1.23775280898876,1.1222501826447,0.977034488277187,1.00640288950911,1.08973789426921,"hsa-miR-146a*","Plate 2"
"598",1.21168539325843,1.10357983602565,1.08826118268384,1.04252175340667,1.14215904042648,1.15467625899281,"hsa-miR-1471","Plate 2"
"599",1.19409042941797,1.18108346003041,1.21285503201445,1.02754331408263,1.06160071942446,1.05662921348315,"hsa-miR-148a*","Plate 2"
"600",1.06785628550852,1.10655064849778,1.19991115059973,1.23606115107914,1.23415730337079,1.12387369104635,"hsa-miR-148b*","Plate 2"
"601",1.2481530126416,1.34562416703687,1.3660071942446,1.24898876404494,1.1368617582596,1.12346963271185,"hsa-miR-154*","Plate 2"
"602",1.17059084851177,1.18435251798561,1.19101123595506,1.13280298725546,1.12466992078099,1.15498276145132,"hsa-miR-155*","Plate 2"
"603",1.13174460431655,1.13123595505618,1.02768081824823,1.01904457069697,1.05073058611066,1.13593958240782,"hsa-miR-1537","Plate 2"
"604",1.45393258426966,1.31910057634548,1.30391293910539,1.03800689541947,1.12883163038649,1.14163669064748,"hsa-miR-18b*","Plate 2"
"605",1.06420975728549,1.04865167640234,1.08028238384502,1.13727232341182,1.15692446043165,1.15460674157303,"hsa-miR-192*","Plate 2"
"606",1.02704649115788,1.05852897717945,1.15548645046646,1.03012589928058,1.03550561797753,0.934329085153016,"hsa-miR-194*","Plate 2"
"607",1.11886389755377,1.21856952465571,1.2410071942446,1.09662921348315,0.996834158616771,0.979034968392414,"hsa-miR-195*","Plate 2"
"608",1.12261217236784,1.13848920863309,1.14112359550562,1.33492978326163,1.30711370728975,1.34583812181908,"hsa-miR-196b*","Plate 2"
"609",1.18794964028777,1.19011235955056,1.08125659550288,0.978234776346323,1.0142012805779,1.09151488227454,"hsa-miR-20b*","Plate 2"
"610",1.25707865168539,1.14335579186622,1.1282707849884,0.989164340830734,1.07241226121724,1.08498201438849,"hsa-miR-218-1*","Plate 2"
"611",1.25659550288173,1.25670160838601,1.28837629289115,1.08884940026655,1.12455035971223,1.11775280898876,"hsa-miR-218-2*","Plate 2"
"612",1.00864207409778,1.04005910359547,1.13060861839183,1.39703237410072,1.40943820224719,1.2614660280867,"hsa-miR-223*","Plate 2"
"613",1.19520604170087,1.2985339848956,1.3169964028777,1.20404494382022,1.08450361230619,1.07225734176202,"hsa-miR-23a*","Plate 2"
"614",1.22567747667703,1.24190647482014,1.2485393258427,1.17379657439727,1.16147875490118,1.18987030044328,"hsa-miR-23b*","Plate 2"
"615",1.23111510791367,1.23730337078652,1.12022079714263,1.25270064815556,1.27647348547037,1.39537983118614,"hsa-miR-26a-1*","Plate 2"
"616",1.28494382022472,1.16080850718402,1.14787549011763,0.987522574289936,1.07285650821857,1.08498201438849,"hsa-miR-26a-2*","Plate 2"
"617",1.09221527721406,1.07865887813075,1.11393859793137,1.10217681030653,1.12365107913669,1.12359550561798,"hsa-miR-32*","Plate 2"
"618",1.08305993438425,1.11106550648498,1.20657485561972,1.03911870503597,1.04314606741573,0.939199610357984,"hsa-miR-335*","Plate 2"
"619",1.10819241503858,1.20924033762772,1.23246402877698,0.957752808988764,0.868982871986363,0.8550052012483,"hsa-miR-33a*","Plate 2"
"620",1.14571301643714,1.16276978417266,1.16943820224719,1.38404091241172,1.37112907097703,1.4057626005582,"hsa-miR-34a*","Plate 2"
"621",1.20008992805755,1.19415730337079,1.09099764591282,1.20588941345923,1.23009358069283,1.33585073300755,"hsa-miR-374a*","Plate 2"
"622",1.22921348314607,1.12387369104635,1.10946627190526,1.05114102774585,1.14749000444247,1.16681654676259,"hsa-miR-449b*","Plate 2"
"623",1.19124928971507,1.18268384412259,1.22188474798884,1.252332296757,1.28372302158273,1.27730337078652,"hsa-miR-497*","Plate 2"
"624",1.11066655997439,1.15046790346413,1.25544202576633,1.27562949640288,1.2952808988764,1.16811429499148,"hsa-miR-499-3p","Plate 2"
"625",1.1718108684945,1.27632163482896,1.29721223021583,1.11056179775281,0.988310739508077,0.977834680323278,"hsa-miR-499-5p","Plate 2"
"626",1.31630386494891,1.3273381294964,1.34337078651685,1.22250182644695,1.20989037368969,1.23542932195042,"hsa-miR-505*","Plate 2"
"627",1.22706834532374,1.22741573033708,1.11494439483724,1.16027846683204,1.19520604170087,1.28698356286095,"hsa-miR-545*","Plate 2"
"628",1.1761797752809,1.06380388018508,1.05545330879411,1.01050730586111,1.09418036428254,1.11330935251799,"hsa-miR-548g","Plate 2"
"629",1.4587222988879,1.44114587501,1.4833360696109,0.744113727232341,0.755845323741007,0.759550561797753,"hsa-miR-548n","Plate 2"
"630",1.01464351444347,1.04129042850107,1.13238560639716,1.12544964028777,1.12584269662921,1.0150986281354,"hsa-miR-556-3p","Plate 2"
"631",1.61139385979314,1.65437583296313,1.59982014388489,0.92314606741573,0.837730335254485,0.826198287589021,"hsa-miR-569","Plate 2"
"632",1.23411816970235,1.25134892086331,1.25887640449438,0.730172903644776,0.722973513643274,0.740847151535052,"hsa-miR-596","Plate 2"
"633",1.29586330935252,1.30067415730337,1.17947885380307,0.735776586380731,0.755623050402233,0.819191470457574,"hsa-miR-1538","Plate 2"
"634",1.30786516853933,1.1802906080039,1.17188125150036,1.55393203086521,1.68902709906708,1.70548561151079,"hsa-miR-599","Plate 2"
"635",1.25213085477717,1.22349363847323,1.27360039402397,1.03243003109729,1.04991007194245,1.05258426966292,"hsa-miR-601","Plate 2"
"636",1.46355125230055,NA,1.62994224788983,1.0431654676259,1.05168539325843,0.949752414968748,"hsa-miR-606","Plate 2"
"637",1.06222295189624,1.15859617947579,1.17176258992806,1.04674157303371,0.950158292069162,0.937424981995679,"hsa-miR-615-5p","Plate 2"
"638",1.21057307863172,1.21942446043165,1.22966292134831,0.852747787969803,0.833400016003841,0.8590543424725,"hsa-miR-620","Plate 2"
"639",1.14793165467626,1.1523595505618,1.04635116486728,0.836600784188205,0.850435068133311,0.924033762772101,"hsa-miR-625*","Plate 2"
"640",1.04089887640449,0.944070135562952,0.933424021765224,0.838532260712527,0.911150599733452,0.936151079136691,"hsa-miR-631","Plate 2"
"641",1.45385177368293,1.47875490117628,NA,1.40870724122612,1.43839928057554,1.42067415730337,"hsa-miR-634","Plate 2"
"642",1.37593022325358,1.39303890986702,1.57352287872057,1.23246402877698,1.24,1.1194090429418,"hsa-miR-1539","Plate 2"
"643",1.15293055327532,1.24611283873834,1.26393884892086,1.16539325842697,1.05690396947804,1.03944946787229,"hsa-miR-655","Plate 2"
"644",1.30741892492226,1.32014388489209,1.33438202247191,0.994398896014287,0.98743698487637,1.00804465604991,"hsa-miR-656","Plate 2"
"645",1.41187050359712,1.41168539325843,1.2732364639987,1.24189805553333,1.29207026760795,1.39715681919147,"hsa-miR-661","Plate 2"
"646",1.15460674157303,1.05081581297183,1.0386492758262,0.975619766869151,1.05908485117725,1.07239208633094,"hsa-miR-664*","Plate 2"
"647",1.30773601753389,1.29391053852925,1.33229354785749,1.23322967569969,1.25989208633094,1.24943820224719,"hsa-miR-7-1*","Plate 2"
"648",1.14787549011763,1.18987030044328,1.29675699689027,1.23021582733813,1.23730337078652,1.11210325513435,"hsa-miR-7-2*","Plate 2"
"649",1.08274503365621,1.18480675255442,1.19694244604317,1.29213483146067,1.17947885380307,1.15427702648636,"hsa-miR-1825","Plate 2"
"650",0.876499333629498,0.888489208633094,0.89438202247191,1.13483237275753,1.12026886452749,1.14349039566574,"hsa-miR-892a","Plate 2"
"651",1.2589928057554,1.25573033707865,1.14335579186622,1.02824677922701,1.05360367755705,1.14882274544647,"hsa-miR-99a*","Plate 2"
"652",1.03460674157303,0.935546716454258,0.927822677442586,1.08561812510261,1.18125277654376,1.19289568345324,"hsa-miR-1255a","Plate 2"
"653",0.854777173471873,0.843802512603025,0.868904941717288,1.12305641936917,1.14028776978417,1.14022471910112,"hsa-miR-1256","Plate 2"
"654",0.810594542690246,0.834427844360532,0.908485117725455,1.25764388489209,1.27775280898876,1.14294991476581,"hsa-miR-1257","Plate 2"
"655",NA,1.58151932474456,1.75359712230216,1.20898876404494,1.11291500933517,1.0922621429143,"hsa-miR-1258","Plate 2"
"656",1.02754331408263,1.0431654676259,1.0476404494382,1.34345320237032,1.33191966071857,1.34747988835988,"hsa-miR-1260","Plate 2"
"657",1.04271582733813,1.04179775280899,0.946099521065021,0.961430743378411,0.990395665736332,1.06708129720124,"hsa-miR-1262","Plate 2"
"658",1.04404494382022,0.943664258462538,0.933023925742178,1.0971104908882,1.20390937361173,1.20638489208633,"hsa-miR-1263","Plate 2"
"659",0.840977352057797,0.832999919980795,0.859875225742899,NA,1.13129496402878,1.12988764044944,"hsa-miR-1264","Plate 2"
"660",0.828598863727295,0.845509768510918,0.924033762772101,1.19064748201439,1.19775280898876,1.07841545579998,"hsa-miR-1265","Plate 2"
"661",0.862337875554096,0.916925810750777,0.928956834532374,1.39865168539326,1.25781313418297,1.24069776746419,"hsa-miR-1266","Plate 2"
"662",1.13460684140382,1.14478417266187,1.17078651685393,0.976134426495657,0.967832279747139,0.989985224101133,"hsa-miR-1267","Plate 2"
"663",1.5089928057554,1.52988764044944,1.35603539248316,1.06105465311675,1.0950582827122,1.19147045757441,"hsa-miR-1269","Plate 2"
"664",1.38696629213483,1.26511892199042,1.25070016804033,1.34255458873748,1.54642381163927,1.51393884892086,"hsa-miR-1270","Plate 2"
"665",1.15877912168195,1.16027846683204,1.20013134132326,1.38249666814749,1.39343525179856,1.39370786516854,"hsa-miR-1271","Plate 2"
"666",1.04425062014884,1.07125266787063,1.16748111950244,1.08138489208633,1.08719101123596,0.978975566198555,"hsa-miR-1272","Plate 2"
