"","x"
"497","MLEC"
"498","MT-CO3"
"499","MT-ND2"
"500","MT-ND4"
"501","MT-ND5"
"502","NUDC"
"503","NUP210"
"504","PTMA"
"505","RPUSD3"
"506","SEC63"
"507","SF3B4"
"508","TLE3"
"509","ZNF138"
"510","ZNF253"
"511","ZNF703"
"512","ACVR2B"
"513","ADRA2B"
"514","ARHGDIA"
"515","ATN1"
"516","BCL2L2"
"517","C1RL"
"518","CADM1"
"519","CBX6"
"520","CHD4"
"521","DUSP2"
"522","H3-3B"
"523","H3C15"
"524","IP6K2"
"525","NACC1"
"526","NUDT4"
"527","PFN1"
"528","R3HDM4"
"529","SERPINH1"
"530","SYNGR2"
"531","TBC1D5"
"532","TRAF3"
"533","ABLIM1"
"534","ADAM9"
"535","AGO3"
"536","ARF3"
"537","ARNT"
"538","ASH1L"
"539","ATP9A"
"540","ATXN1"
"541","BHLHE40"
"542","C1orf116"
"543","C1orf216"
"544","CBX2"
"545","CCDC91"
"546","CD82"
"547","CDK6"
"548","CSNK1D"
"549","CYLD"
"550","DDHD1"
"551","DYRK2"
"552","E2F1"
"553","EMC10"
"554","ETS1"
"555","FAM126B"
"556","FAM160B1"
"557","FBXO45"
"558","FGF9"
"559","G3BP1"
"560","GIGYF1"
"561","HIF1AN"
"562","HMGB2"
"563","IGF1R"
"564","KIAA0232"
"565","KIF13A"
"566","LNPEP"
"567","MACC1"
"568","MED13"
"569","MEF2D"
"570","MESD"
"571","MTF1"
"572","MTX3"
"573","MVB12B"
"574","MYADM"
"575","NACC1"
"576","NACC2"
"577","NDUFS2"
"578","NR2C2"
"579","NR3C1"
"580","NUFIP2"
"581","PCNX1"
"582","PEAK1"
"583","PRSS23"
"584","PTPN1"
"585","RAB1A"
"586","RNMT"
"587","SEMA4C"
"588","SLC36A1"
"589","SLC7A11"
"590","SOCS7"
"591","SPATA13"
"592","STAM"
"593","TAOK1"
"594","TFCP2"
"595","TIPRL"
"596","TMBIM6"
"597","TNRC6B"
"598","TOB2"
"599","USF2"
"600","VANGL1"
"601","WDR37"
"602","ZBTB46"
"603","ZC3H12C"
"604","ZDHHC17"
"605","ZNF264"
"606","ZNF280B"
"607","ANXA6"
"608","ARL5B"
"609","CCND1"
"610","ITGA5"
"611","NDEL1"
"612","PKM"
"613","ZDHHC9"
"614","BMI1"
"615","BTG3"
"616","CAV1"
"617","CREBBP"
"618","ERO1A"
"619","GATAD2B"
"620","HSPA8"
"621","MSI2"
"622","NUFIP2"
"623","RPS4X"
"624","SMARCAD1"
"625","SMG1"
"626","SUPT16H"
"627","TNPO1"
"628","TRA2B"
"629","UBE2G1"
"630","ALCAM"
"631","ATP5MC1"
"632","DENND6A"
"633","MCRIP2"
"634","MLXIP"
"635","NFIX"
"636","P4HB"
"637","PRRT2"
"638","RHOA"
"639","GIGYF1"
"640","YWHAZ"
"641","MYC"
"642","ARF3"
"643","CPNE3"
"644","RREB1"
"645","STC2"
"646","FAM135A"
"647","G3BP1"
"648","KATNAL1"
"649","LEPROT"
"650","PCMTD1"
"651","RYBP"
"652","UHMK1"
"653","CCND1"
"654","CRIM1"
"655","MCL1"
"656","PEG10"
"657","TM4SF1"
"658","YWHAE"
"659","BUB3"
"660","FEN1"
"661","GREB1"
"662","IGF1R"
"663","POF1B"
"664","SIX4"
"665","KLHL15"
"666","KMT2D"
"667","NDUFA2"
"668","WASF2"
"669","ZNF275"
"670","TERT"
"671","BCL2L11"
"672","BCL2L12"
"673","CALM3"
"674","CBX5"
"675","CHAC1"
"676","HNRNPA0"
"677","LARP1"
"678","MCL1"
"679","NDUFB11"
"680","NECAP1"
"681","NONO"
"682","PPM1L"
"683","PPP1R12A"
"684","PUM2"
"685","RANGAP1"
"686","S100A11"
"687","S100A16"
"688","SESN2"
"689","SOWAHC"
"690","TOB2"
"691","ZFP36"
"692","SOD2"
"693","STMN1"
"694","HPSE"
"695","CLIP1"
"696","FAM135A"
"697","GMFB"
"698","HNRNPAB"
"699","NUP42"
"700","P4HB"
"701","PAWR"
"702","PPP1R15B"
"703","PPP6R3"
"704","PSAT1"
"705","RHOB"
"706","SKI"
"707","TARDBP"
"708","YWHAE"
"709","CALM1"
"710","CCND1"
"711","DDX5"
"712","EXTL3"
"713","FRS2"
"714","GTF2A1"
"715","H2AC13"
"716","H2BC21"
"717","H2BC8"
"718","MRPL17"
"719","NFIC"
"720","PRRG4"
"721","RAC1"
"722","SESTD1"
"723","SON"
"724","SSR3"
"725","STARD3NL"
"726","TRIM71"
"727","VANGL2"
"728","BLCAP"
"729","CMPK1"
"730","CSNK1A1"
"731","KIF13A"
"732","RAB11FIP1"
"733","RFK"
"734","SNX5"
"735","ZMAT3"
"736","BTG2"
"737","AFF2"
"738","AGO4"
"739","ALDOA"
"740","CLPX"
"741","CLUAP1"
"742","EID2B"
"743","MKI67"
"744","NUP210"
"745","PPP1CC"
"746","PRKX"
"747","RILPL1"
"748","RNF165"
"749","SLC4A4"
"750","TRAF2"
"751","CTDSPL2"
"752","KLHL25"
"753","KMT2A"
"754","RPL36"
"755","SEC16A"
"756","SLC30A3"
"757","SUPT16H"
"758","PANK1"
"759","CDKN1B"
"760","EIF5A"
"761","FTSJ3"
"762","KDM6B"
"763","NACC1"
"764","PSME3"
"765","CELF1"
"766","KCNC4"
"767","PHF13"
"768","PKM"
"769","RPS10"
"770","STARD7"
"771","TNPO2"
"772","ADGRL1"
"773","BTG2"
"774","CDCA3"
"775","CERS2"
"776","CFL1"
"777","FBRS"
"778","FBXL19"
"779","GIGYF1"
"780","GLO1"
"781","GPR107"
"782","HSP90B1"
"783","KDM5C"
"784","LENG8"
"785","MAFG"
"786","MIDN"
"787","MINK1"
"788","NACC2"
"789","NFIC"
"790","NLGN2"
"791","OGT"
"792","PFN1"
"793","SETD5"
"794","TXNIP"
"795","UBTF"
"796","ZBTB7B"
"797","HMGA2"
"798","PABPN1"
"799","SET"
"800","SLC1A5"
"801","TNPO2"
"802","CTBP2"
"803","ADD3"
"804","ATXN7L3B"
"805","C2orf69"
"806","CNN2"
"807","ELAVL1"
"808","GRK2"
"809","HMGB2"
"810","KLF10"
"811","MAP1B"
"812","MCFD2"
"813","NUFIP2"
"814","PNRC2"
"815","SPTY2D1"
"816","TNRC6A"
"817","TSNAX"
"818","WEE1"
"819","ZNF281"
"820","C16orf72"
"821","CALU"
"822","CDKN1B"
"823","DNAJB9"
"824","TMED7"
"825","UBL5"
"826","ZSCAN25"
"827","FGFR1OP"
"828","FOXC1"
"829","STMN1"
"830","XIAP"
"831","ZNF703"
"832","CDKN1A"
"833","RAB2A"
"834","RPL13A"
"835","UBN2"
"836","ROCK1"
"837",""
"838","ABCD3"
"839","ABHD6"
"840","ABI3BP"
"841","AC022966.1"
"842","AC119396.1"
"843","ACO2"
"844","ACSL3"
"845","ACSL6"
"846","ACTR1B"
"847","ADAM22"
"848","ADAM23"
"849","ADAMTS15"
"850","ADAMTS5"
"851","ADK"
"852","ADM"
"853","ADO"
"854","ADRB1"
"855","AGO1"
"856","AGO4"
"857","AHCYL1"
"858","AHR"
"859","AIMP2"
"860","AKAP11"
"861","AKAP9"
"862","ALCAM"
"863","ALG13"
"864","AMER2"
"865","AMOTL2"
"866","AP5Z1"
"867","APH1B"
"868","AQP4"
"869","ARHGAP35"
"870","ARHGAP44"
"871","ARHGAP5"
"872","ARHGEF7"
"873","ARPC5"
"874","ASAP2"
"875","ASGR2"
"876","ASH1L"
"877","ASPH"
"878","ATG4C"
"879","ATG7"
"880","ATOX1"
"881","ATP2A2"
"882","ATP2B1"
"883","ATP5PB"
"884","ATP6V1A"
"885","ATP8A1"
"886","ATRX"
"887","ATXN7L3B"
"888","AURKA"
"889","AXL"
"890","AZIN1"
"891","B3GALT2"
"892","B4GALT6"
"893","BASP1"
"894","BAZ2A"
"895","BCAP29"
"896","BCAT1"
"897","BCL11A"
"898","BCL11B"
"899","BCO1"
"900","BEND6"
"901","BRAF"
"902","BRMS1L"
"903","BSN"
"904","BTG2"
"905","C11orf58"
"906","C11orf87"
"907","C12orf29"
"908","C1orf52"
"909","C6orf62"
"910","C9orf72"
"911","CACYBP"
"912","CADM2"
"913","CADM3"
"914","CALM3"
"915","CALN1"
"916","CAMK2A"
"917","CANX"
"918","CARF"
"919","CARNMT1"
"920","CASP3"
"921","CAVIN1"
"922","CBX2"
"923","CCDC14"
"924","CCDC28A"
"925","CCDC59"
"926","CCDC88A"
"927","CCND2"
"928","CCNE1"
"929","CCNL2"
"930","CCSAP"
"931","CCT6A"
"932","CD2AP"
"933","CDC27"
"934","CDC42EP2"
"935","CDC42SE2"
"936","CEBPA"
"937","CEBPZOS"
"938","CENPJ"
"939","CENPT"
"940","CEP126"
"941","CEP350"
"942","CERT1"
"943","CFL2"
"944","CHD9"
"945","CHM"
"946","CHORDC1"
"947","CHRM3"
"948","CIDEC"
"949","CLASP2"
"950","CLCC1"
"951","CLDN11"
"952","CLSTN1"
"953","CLTC"
"954","CNN2"
"955","CNTN1"
"956","CNTN3"
"957","CNTNAP1"
"958","COBL"
"959","COG3"
"960","COL12A1"
"961","COL4A1"
"962","COL5A1"
"963","COX20"
"964","CPEB4"
"965","CPSF6"
"966","CSGALNACT1"
"967","CSNK1A1"
"968","CSRNP3"
"969","CST3"
"970","CTDSPL2"
"971","CTPS1"
"972","CTPS2"
"973","CTSZ"
"974","CUL5"
"975","CUX1"
"976","CXCL12"
"977","CYSLTR1"
"978","CYTH1"
"979","DAAM1"
"980","DARS2"
"981","DAZAP2"
"982","DCAF8"
"983","DCBLD2"
"984","DCUN1D3"
"985","DDI2"
"986","DDX3X"
"987","DDX5"
"988","DDX6"
"989","DENND4B"
"990","DGKH"
"991","DHX36"
"992","DICER1"
"993","DIPK2A"
"994","DIRAS2"
"995","DLGAP1"
"996","DNAJB11"
"997","DNAJB12"
"998","DNAJB14"
"999","DNAJC15"
"1000","DPYSL3"
"1001","DUS2"
"1002","DUSP1"
"1003","DYNLT3"
"1004","EFR3A"
"1005","EGFR"
"1006","EIF3J"
"1007","EIF4E"
"1008","EIF4G1"
"1009","EIF5A2"
"1010","EMP1"
"1011","ENTPD7"
"1012","EOGT"
"1013","EPC2"
"1014","ERBIN"
"1015","ERICH1"
"1016","ESYT1"
"1017","ETNK1"
"1018","EXT1"
"1019","EZH2"
"1020","FABP4"
"1021","FAM126B"
"1022","FAM13A"
"1023","FAM160B1"
"1024","FAM167A"
"1025","FAM168A"
"1026","FAM171B"
"1027","FAM20C"
"1028","FAM217B"
"1029","FAM3C"
"1030","FAM76B"
"1031","FAR1"
"1032","FBXL4"
"1033","FBXO33"
"1034","FBXO42"
"1035","FBXW7"
"1036","FER"
"1037","FGF12"
"1038","FH"
"1039","FKBP1A"
"1040","FKBP4"
"1041","FMR1"
"1042","FNIP2"
"1043","FOXK1"
"1044","FRRS1L"
"1045","FSTL1"
"1046","FUNDC1"
"1047","FUS"
"1048","FUT11"
"1049","FUT9"
"1050","FXR1"
"1051","FXYD6"
"1052","G3BP1"
"1053","GABRA1"
"1054","GABRB2"
"1055","GAD2"
"1056","GAPDH"
"1057","GAR1"
"1058","GATM"
"1059","GBP4"
"1060","GCLC"
"1061","GDPD1"
"1062","GFPT1"
"1063","GIGYF1"
"1064","GIGYF2"
"1065","GLS"
"1066","GMFB"
"1067","GOLGA7"
"1068","GOLGA8B"
"1069","GOLGB1"
"1070","GOLIM4"
"1071","GPBP1L1"
"1072","GPR137C"
"1073","GPR158"
"1074","GPR180"
"1075","GRAMD2B"
"1076","GRAMD4"
"1077","GREM1"
"1078","GRIA2"
"1079","GRIA3"
"1080","GRIN2B"
"1081","GRK5"
"1082","GRN"
"1083","GSTO1"
"1084","GTF2A1"
"1085","GTF2E1"
"1086","GUCY1A2"
"1087","HAND1"
"1088","HDGFL3"
"1089","HECA"
"1090","HECTD1"
"1091","HERC1"
"1092","HEY2"
"1093","HIPK2"
"1094","HIVEP2"
"1095","HLF"
"1096","HNRNPA1"
"1097","HNRNPA2B1"
"1098","HNRNPA3"
"1099","HNRNPDL"
"1100","HNRNPH1"
"1101","HNRNPH3"
"1102","HNRNPU"
"1103","HSPA13"
"1104","HSPA4L"
"1105","IBTK"
"1106","IFIT3"
"1107","IL6ST"
"1108","IMMT"
"1109","INPP5A"
"1110","IPO5"
"1111","IRAK1"
"1112","IRF2BPL"
"1113","IRS2"
"1114","ITGA5"
"1115","ITGAV"
"1116","ITGB8"
"1117","ITPR2"
"1118","JAG1"
"1119","JAZF1"
"1120","KANSL1"
"1121","KCNAB1"
"1122","KCNB2"
"1123","KCNC2"
"1124","KCNC4"
"1125","KCNIP4"
"1126","KCNK1"
"1127","KCNQ5"
"1128","KCTD12"
"1129","KDM2A"
"1130","KDM3B"
"1131","KDM4A"
"1132","KDM5B"
"1133","KDM7A"
"1134","KIF23"
"1135","KIF5B"
"1136","KIF5C"
"1137","KLF12"
"1138","KLHL15"
"1139","KPNB1"
"1140","LAMP2"
"1141","LAPTM4A"
"1142","LCAT"
"1143","LEMD3"
"1144","LEPROT"
"1145","LHFPL2"
"1146","LIG4"
"1147","LIN54"
"1148","LIN7A"
"1149","LMOD2"
"1150","LONRF3"
"1151","LOX"
"1152","LRP6"
"1153","LRRC58"
"1154","LSM14A"
"1155","LSM8"
"1156","LTN1"
"1157","LYPD6"
"1158","MAN2A1"
"1159","MAP1A"
"1160","MAP1B"
"1161","MAP2"
"1162","MAP3K7"
"1163","MAP4"
"1164","MAP4K5"
