ID,Normal.2,Cancer 1.1,Cancer 1.2,Cancer 1.3,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-miR-301b,1.27485997240036,0.929823157557814,0.961664751272369,1.04901079136691,0.294693739001327,1.05383966814936,3.83463850698613,0.000230804263973517,0.00148111202525337,-0.103270607854064
hsa-miR-302d*,1.34622302158273,1.07476256189626,1.06625590141634,1.090543424725,0.269035725570199,1.14444622740508,3.53280094281847,0.000646779993862666,0.00333266932798201,-1.07127930693373
hsa-miR-302e,1.43705035971223,1.25662921348315,1.14923657855853,1.13077360175339,0.258170561780542,1.24342243837682,3.35268476280108,0.00116546040128819,0.00546668869841903,-1.62026829480412
hsa-miR-3074-3p,1.34712230215827,1.09977528089888,1.0121490724019,1.00129880672132,0.309381248817571,1.11508636554509,4.03465596520818,0.000113307354077892,0.000841528702942929,0.569580325192996
hsa-miR-3117-3p,1.31834532374101,1.10247191011236,1.00968642259071,0.993993018913873,0.282961539868694,1.10612416883949,3.68535229198088,0.000386790348951045,0.00227293654495951,-0.589363346643632
hsa-miR-3119,1.30233130848793,1.09577338129496,0.980635352484596,1.10157303370787,0.243004052658791,1.12007826899384,3.15546566022263,0.00216958459558222,0.00953523313856726,-2.19554547736474
hsa-miR-3125,0.941634872960468,1.32431783628071,1.4961797752809,1.34747988835988,-0.447690960346693,1.27740309322049,-5.75641785347494,1.13617986832643e-07,1.82837560349146e-06,7.20961867516217
hsa-miR-3126-3p,1.22392086330935,0.957752808988764,0.878755540962075,0.867359363584707,0.32263162546417,0.981947144211225,4.21259745608878,5.9085350223934e-05,0.000469535013922826,1.18802380751756
hsa-miR-3126-5p,1.29123595505618,1.00292231512298,1.09487410071942,0.977834680323278,0.266025589667619,1.09171676280547,3.46169465274555,0.000818000927420454,0.00403598570793299,-1.29064117055181
hsa-miR-3127-5p,1.094647841077,0.753147482014389,0.672561414739537,0.759550561797753,0.366228021559773,0.819976824907169,4.78270535360022,6.59687221447121e-06,6.38919290401564e-05,3.28503456885586
hsa-miR-3130-3p,1.29718321292313,0.947027286548772,1.06561797752809,0.972336233787555,0.302189380301655,1.07054117769689,3.93127331055662,0.000164120490922769,0.00116782335717834,0.218783579312042
hsa-miR-3133,1.30111226694407,1.00681333114431,1.10611510791367,0.993993018913873,0.265471780953449,1.10200843122898,3.4547528012341,0.000836834383857645,0.00407129658379115,-1.31187411290953
hsa-miR-3135,0.888089887640449,1.13483237275753,1.2589928057554,1.11466752020485,-0.281407678598809,1.09914564658956,-3.64113639880692,0.000449582831331071,0.00255578066071903,-0.730607363203999
hsa-miR-3137,1.23775280898876,0.960711096679925,1.06609712230216,0.947827478594863,0.246207576463115,1.05309712664143,3.2005495496685,0.00188641722957161,0.00836098483954199,-2.06647694579831
hsa-miR-3138,1.13848526666126,0.81739617508202,0.841815793794123,0.936151079136691,0.273364250656978,0.933462078668522,3.55599708566899,0.000598680309606719,0.00314683218014386,-0.998988061648709
hsa-miR-3141,1.51148632194172,0.985036408738097,1.01091774749631,1.11330935251799,0.475065152357587,1.15518745767353,6.16961433039629,1.84040631090333e-08,3.77463725726448e-07,8.97926237093709
hsa-miR-3144-3p,1.52607913669065,0.848689016965663,0.82899895975034,0.853718601214907,0.68227694404701,1.01437142865539,8.95879066450214,3.70831824309858e-14,3.52627352934646e-12,21.8149921517332
hsa-miR-3146,1.33393531439829,1.13219424460432,1.00984236216692,1.13393258426966,0.241945584051326,1.1524761263598,3.13856569724425,0.00228558375165457,0.00992000250718126,-2.24354957150633
hsa-miR-3148,1.54361510791367,1.0179397678383,1.00384092182124,1.03185027089148,0.525738121063331,1.14931151711617,6.90288075522173,6.54282337479438e-10,2.07387674243483e-08,12.2341654166548
hsa-miR-3150b-3p,1.01384332239738,1.27524216056477,1.27283058689829,1.39748201438849,-0.301341598219806,1.23984952106223,-3.90887868780632,0.000177697574549677,0.00123842482857715,0.143640959749982
hsa-miR-3161,1.30755395683453,1.70157303370787,1.5604990970284,1.53949184187028,-0.292967367367651,1.52727948236027,-3.77543875762671,0.000283680488235196,0.00177682509397614,-0.297713713667513
hsa-miR-3165,1.07043178460023,1.7023381294964,1.54314473577401,1.5175642154117,-0.51725057562714,1.45836971632058,-6.62966680611095,2.30011033339084e-09,6.78865972116114e-08,11.0064693673328
hsa-miR-3168,1.36272705449308,0.911590871778033,0.907135319425278,1,0.423151657425309,1.0453633114241,5.52070053437505,3.13494363518952e-07,4.61852259494119e-06,6.2253414775398
hsa-miR-3170,1.32674157303371,0.960711096679925,1.06609712230216,0.947827478594863,0.335196340508059,1.07534431765266,4.35734964811011,3.43713928101365e-05,0.000287619815035222,1.70428086440203
hsa-miR-3171,1.39796420948941,1.13938848920863,1.0202448587661,1.14516853932584,0.296363580389218,1.1756915241975,3.84533086077867,0.000222316207475493,0.00144436492558612,-0.0679186580136699
hsa-miR-3175,1.22741573033708,0.929864437048462,1.03597122302158,0.921021045050812,0.26513016196346,1.02856810886448,3.44753625985801,0.00085684600715231,0.00414935612722832,-1.33391259535159
hsa-miR-3176,1.16224719101124,1.38404091241172,1.54091726618705,1.37032887893094,-0.269515161498669,1.36438356213524,-3.46304678524643,0.000814379367280424,0.00403598570793299,-1.28650162339398
hsa-miR-3179,1.11346723213571,0.68748973895912,0.755845323741007,0.685932299699651,0.40371144466912,0.810683648633873,5.28216138862732,8.58723023310681e-07,1.14430474086271e-05,5.2502052744432
hsa-miR-3186-5p,0.914118705035971,1.25707865168539,1.16688556887211,1.14294991476581,-0.274852673405132,1.12025821008982,-3.57810398555248,0.000556004653972584,0.00299783952605837,-0.929759519148844
hsa-miR-3193,1.37876451010634,1.03064735536529,1.05565588573305,1.16007194244604,0.29663944892488,1.15628492341268,3.85136204774332,0.000217660631068283,0.0014229563756089,-0.0479466436165641
hsa-miR-3199,1.52539325842697,1.22331358064778,1.34757194244604,1.20308874129791,0.267401836963055,1.32484188070468,3.45981285083354,0.000823066439754972,0.00404191312668404,-1.29640023745045
